"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"A1",0.370062321616495,-0.017401934819657,0.287210161111566,-1.33983519193353,0.113905305138831,1.01663608174854,-0.857601193476166,0.144069597678177,-1.08250372437067,0.529138351818894,-0.309448627719173,0.0855754328222512,0.641106960405547,-0.00468052253552675,0.555979893924617,0.694223057823441,-1.08082631242465,-0.646778807965198,-0.375313607030479,-0.314025198638388,-1.81714740597892,0.255650877663636,0.075728657900186,-1.31339447498946,0.143269113945051,1.62251071335548,0.882072320245528,-0.487602005594003,-0.782883065599343,0.903297393636926,-1.03814939844693,0.16229483877029,0.674603915597953,-2.26907434685099,1.22783924716063,1.27559321464215,-0.620626395172069,-0.956579456392911,-0.0423134844109108,0.695240138236648,-0.206422524125733,0.097950753007617,0.776562354471881,-1.53565433881264,0.288285069598252,0.751031388121869,-0.60244164884983,-0.478348650885309,0.175930343541704,-0.174546693264989
"A2",-0.454764017382119,0.152640087915518,0.28324257572347,-2.25456747274652,-0.156468394926672,0.404316782061934,-0.978807062050984,0.662101684717743,-1.76883883633888,-0.750572666927474,0.530403560392707,0.638459252772999,-0.0180466832821834,-0.760905521331485,1.29849688815017,2.30150272031636,-0.69797495327439,0.815354208872631,0.0608510950230485,1.04895939780503,-0.306036460374881,-0.112380631313356,0.723555377672203,-0.152924594466745,1.75288980440216,1.09354009226259,-1.2794592313235,0.323809351937037,-0.251602164329197,0.704378246752753,0.0024589834735544,-0.338577815823356,-0.127484034688522,-1.18235708300348,-1.01917910203465,1.73031542643327,-1.09406645610353,0.980623443662277,-0.277777165001701,0.368046296655905,0.581009990227349,1.67843020661355,1.7542782370371,-0.263428934104781,0.717506880091192,-0.376951133293746,-1.44657561562574,0.995629324487503,-0.722766245938077,1.05389538642055
"A3",0.936856889958815,-0.222978993098296,0.699939478987032,-0.304568512527758,-0.706704289351155,1.48187321041845,-1.60280043927805,-1.19861175646198,-2.3376330737275,0.379507432885028,-0.441431175351586,-0.254015264115834,-0.153472209444713,0.464084821294074,0.784342115346162,1.81905566590848,-1.38041286904186,0.948090294586622,-0.749343909159777,1.99906704101604,0.63575663008707,0.66555608726769,0.896540686487877,-0.425230614068891,0.895751445609724,1.4750197479506,-0.909978442233271,-0.729876923553287,-0.444017738494176,0.305729694521428,-0.774644286508233,-1.28353896203249,1.43167876818029,-0.378594632653745,0.489217077384853,1.21546677763686,-1.23867407870232,0.186851048475587,-0.445360299595716,0.0818997027379033,0.348846146051461,-0.233193752824709,0.629453421431032,-0.979635069180444,0.661365217482322,1.51829117834984,1.02577947377496,-0.0127674339269963,-0.577491843443851,0.450046564775818
"A4",0.414201094300991,0.0395039007189555,0.716735410255616,-0.758929846265511,-0.129122235340424,1.65205523535401,-0.537807301163518,0.213102279967934,-0.10293082572421,0.36175379213788,0.0667397427730935,0.235460981249324,0.656232939903856,-2.2728236998387,0.909002331528263,0.840002740444701,-1.19672908058773,0.527922602594856,-0.868082266036877,-0.116771674797789,1.03194338176893,-0.111323077564469,-0.00363386957413581,-1.02200639987758,-0.179520997471233,2.40751537730254,-0.463164506623038,0.643879282721372,-0.69333160618978,0.808509173080967,0.352802171356212,-1.00452158795005,0.0823185299588913,-0.282059295450664,0.822009586233094,1.3243031176979,-1.28525371400048,-1.47798758762894,-0.778573910417987,0.113368020631047,-1.0280289296747,-1.25306449767639,-1.08763089945337,-0.765069552216609,1.471180758796,0.879009399886411,-0.341529179408703,-0.579677766405257,-0.764564557547556,0.308333278559796
"A5",0.200897295153935,-1.58704057136562,-0.38592950823624,-1.67925101147019,1.54933144824077,1.49748636513962,-2.54563120648965,1.0923903087361,-0.544387210439651,0.184097250635674,0.530138014493512,-0.196437956245698,1.69716424311624,-0.209148560973344,0.331572242449338,1.38322676417602,-0.531806430941788,-0.298620550499439,-0.193846058206396,0.970237443143222,-0.152283935348811,0.304885278325466,0.325235606794659,-1.71717780297582,0.148945532052416,0.972085523132424,-0.219203143795911,-0.37814316155045,-0.494834025607803,0.34138405247399,0.138271076820461,0.463291701048242,1.72934940513264,-1.29495356620981,0.748847115840197,2.56034587464253,0.0828118700804756,-0.985635594428865,-1.15953127536638,1.19055443702595,0.53551758811583,0.105462215546108,0.107680930712789,-0.687163094824424,-0.50575450738188,1.46568669628855,-1.44052313520624,-0.781627668723161,-0.344039425740743,-0.43584688539134
"A6",-0.0724518481976041,-0.203501998728113,1.50623144986506,-0.00384451662455076,0.187471724583597,-0.212568898742004,-0.431057626138854,0.427019082323156,-0.69317715234354,0.458622938491054,-0.178800335130692,-0.122717340238295,1.15194506083751,0.382078619137817,-0.00761248329431363,1.17810081266965,-0.654829919832517,-0.440554941313227,0.0178341761205102,-0.21994305585343,0.0994615959791539,-0.495982016137742,0.491337500812314,-0.844411949726982,0.667463712346162,1.60154498527767,-0.854549077124931,-0.645747443771583,-0.18903126195599,0.990003234913814,-0.345306095728921,-0.00146615053232295,0.394494077386913,0.286984868655878,-0.134902235593378,1.70923654140259,-1.20575476764467,0.710459396563839,0.195556797344272,0.00561261992168466,0.0779782339256161,0.197924217976807,0.24659386676617,-1.47983894230084,0.758129478021611,0.864454803114122,-0.994539052219912,0.089252451555963,0.602071797744746,0.804187665323932
"A7",-0.134147982260643,-0.942699502735034,0.0151136558475429,0.405204678397495,1.20194094031925,0.692445619659114,-1.48885128579695,-1.14161742464053,0.790244045352642,0.463813431349484,-0.697633733953499,-0.33077661938355,0.397724800202796,-0.722635693853418,-0.063802683101744,0.634537033505637,-0.424699487090449,0.775708564102606,0.209714908888702,-0.103471585405868,0.178409562888615,0.488242600194627,0.0212249216358595,-1.29529527338124,0.0861336998318286,1.50970951960623,-1.88928762879887,-0.417486380279634,-0.426964724052067,0.690695951498285,0.926145165794747,-0.348644303718275,1.03228002092634,-1.34487381008565,0.500077449489627,1.90664821751667,-0.971236345792339,0.303960222986963,-0.907604181282441,0.0514640891511665,0.441957734681231,-1.27607887667157,1.14930287713804,-1.58847279649809,0.894290117310577,2.07359907891227,-1.82748917874804,-0.150491809431751,-0.466971855873619,0.338986570305151
"A8",-0.568301153423456,-0.595948042709043,1.25861606689543,-1.231271026031,0.487042892187421,0.820650196263355,0.555143198844402,1.1127686441329,-0.926828729987005,-0.0804094283434911,-1.17796634446862,0.85355114273136,0.418951178114213,0.470090599326058,-0.594603673071418,0.194524408188732,-0.856078276467001,1.56458859520152,-1.47934413190443,-1.00473212640894,1.15477953571742,-0.068540617294201,0.301574437761947,0.784331257339905,2.30230485916962,0.123520029896528,-0.286818345955877,0.179854120863097,-0.906398522041425,-0.705393157322449,-1.06286614550481,-0.507199888490988,-0.283654073347323,0.0370430355252033,0.264437698873063,1.09467240670318,0.48682974924303,-1.00809022520119,-0.513563911167079,0.450295251158218,-0.507296994517507,-0.155399526393993,-0.13206186445134,-0.795504104744728,0.477764098065565,1.27793252117401,-0.89182985007111,0.70878383453198,-0.346213115980328,0.727695184081277
"A9",0.541013812708242,1.32442360163382,0.427510151448481,0.779588524893159,0.358671659416094,0.326872524141465,-2.24294915683375,-0.457286564706205,-0.0172331827172696,0.0570714315965826,-0.010893761515494,0.374173339149062,1.2030764484734,-1.0758476021469,-0.22501296707823,0.780150305617934,-0.951669888876004,-0.963133793345046,-0.830956394566433,0.0430289506167668,0.0358139942258752,-0.130675290216195,0.376093748577316,0.57463958420046,0.0978836208397874,0.500549956485573,-0.751887207381535,-0.827239216591916,-0.588725766331753,0.514318648663601,0.816598524274675,0.177584729065995,0.600905679179858,-0.611447529450068,0.963348041954374,1.06552846118635,-1.60638029065712,-0.715848872914275,-0.863656044277925,-0.65239625469274,-0.188294148081714,0.012492956971825,0.546671236152891,0.178904077015769,-0.476174544133784,-0.602787563485406,-0.628600022901272,0.57008435312553,-0.74093401042754,0.383664954164355
"A10",-1.05774305125893,0.221041482553106,0.497677906446143,0.131803476505629,-0.0984822145246862,1.36425196228217,-1.25376857318328,-0.142309174086953,1.72491666527469,-0.186940794628963,0.834042503942178,0.263142694991959,0.673470747790765,0.321542609057152,0.820105400685221,0.84569284252857,-0.767936395728998,-0.386473613808175,0.910069605305643,0.539834820115453,0.261752225362306,0.615268552684537,-0.536440810732829,-1.0828264635651,0.996956287607429,0.436809810335394,-0.784348123871298,-0.811693148869738,-0.092937236236155,1.4104462681243,0.183765064970171,0.186896683373079,-0.449775032020881,-0.637744014412288,1.5174695380281,0.94351230860028,0.12150045951955,-0.585796250471699,-0.245149330232566,0.958868937233937,-0.403968495036185,-0.0764358770475083,-0.238191457824313,0.695213203884999,0.174450893000445,0.230731108079085,-0.969941757233377,-0.496591339643442,-0.188510547630669,0.399676630136771
